commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Gingee,48.36,71.24,65.63,11/4/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,37.5,50.6,45.6,11/4/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,66.49,78.17,76.1,10/25/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,52.99,81.36,67.18,10/25/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,77.61,77.61,77.61,10/25/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,47.48,60.07,56.73,10/25/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,65.49,83.61,74.24,10/25/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,66.61,77.16,74.34,10/30/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,55.91,68.86,62.39,10/30/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55.5,62.5,57,10/30/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,43.86,85.65,73.48,10/30/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,68.61,78.2,71.11,10/30/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,55.86,64.52,60.19,10/25/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,86.36,105.36,95.86,10/22/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,61.99,67.26,63.65,12/31/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,37.65,65.71,63.21,12/31/2019
Groundnut,Tamil Nadu,Vellore,Vellore,66.49,77.24,75,12/31/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.5,71.24,62.5,12/31/2019
Groundnut,Tamil Nadu,Sivaganga,Singampuneri,50,60,56,12/17/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,65.61,74.11,69.86,12/20/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,56.11,74.61,64.99,12/20/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,70.24,84.74,82.18,10/22/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,52.51,86.24,69.38,10/22/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,44.22,59.48,45.05,10/22/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.75,68.26,64.61,11/12/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,51.74,68.86,63.13,11/12/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,57.73,71.23,66.11,11/12/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,25.25,25.25,25.25,10/29/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,58.36,76.36,67.36,10/29/2019
Groundnut,Tamil Nadu,Vellore,Vellore,69.44,76.7,74,10/29/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,49.65,61.48,50.73,10/29/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,61.2,63.99,62.86,11/26/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,40.07,57,46.39,12/19/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,58.99,80.8,69.9,12/19/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,56.24,67.49,61.87,12/19/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,46.09,56,50.39,11/14/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,59.11,73.7,66.41,11/14/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,60.8,58,11/14/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,59.61,71.74,68.75,11/26/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55.5,58.5,57,11/26/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,46.29,57.32,52.39,11/26/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,67.75,77.75,72.75,11/26/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,55.41,73.33,63.34,11/4/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,46.24,71.11,58.67,11/4/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,57.61,72.46,65.03,12/24/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,53.74,67.11,63.98,12/24/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,56.11,70,61.61,11/8/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.86,68.36,63.31,12/5/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.75,73.75,66.74,12/5/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,38.72,67.36,65.42,11/18/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,70.13,73.41,73.41,11/18/2019
Groundnut,Tamil Nadu,Vellore,Vellore,64.86,80.14,80,11/18/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,52.05,59.98,54.53,11/18/2019
Groundnut,Tamil Nadu,Cuddalore,Virudhachalam,51.74,71.36,65.61,12/17/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.12,67.36,63.68,12/4/2019
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,53.48,53.48,53.48,12/4/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,65.27,78.75,75.41,12/4/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,78.86,78.86,78.86,12/4/2019
Groundnut,Tamil Nadu,Vellore,Vellore,53.88,72.74,70,12/4/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,55.57,66.6,64.48,11/19/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,57.99,58.33,58.33,11/19/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,55.86,71.36,66.11,11/19/2019
